english,translate
afraid,"боящийся, опасающийся"
air-conditioner,кондиционер
almost,почти
antenna,антенна
apartment complex,квартирный комплекс
article,"статья, заметка"
to bake,"печь, обжечь"
bread,хлеб
broken,"сломанный, разбитый"
bus stop,автобусная остановка
cabinet,"шкавчик, тумба"
closet,одежный шкаф
clothing store,магазин одежды
cockroach,таракан
culture,культура
curly,"кудрявый, вьющийся"
department store,универмаг
dictionary,словарь
to design,проектировать
dishwasher,посудомоечная машина
elevator,лифт
envelope,конверт
eraser,стирательная резинка
fire escape,пожарная лестница
flashlight,фонарик
floor,"пол, этаж"
to fly,"лететь, управлять самолетом"
furniture,мебель
generous,щедрый
hole,дырка
hundred,"сто, сотня"
kind,добрый
lazy,ленивый
mailbox,почтовый ящик
meal,приготовленная пища
messy,"неопрятный, беспорядочный"
motorcycle,мотоцикл
mouse,мышь
more than,больше чем
normally,обычно
near,"рядом, неподалеку"
outside,"на улице, снаружи"
owner,владелец
parking space,место для парковки
pet,домашнее животное
refrigerator,холодильник
to repair,"чинить, ремонтировать"
roof,крыша
selfish,эгоистичный
to sell,продавать
sewing machine,швейная машина
to shop,делать покупки
shower,душ
stove,плита
straight,"прямой, ровный"
suburb,пригород
suburban,пригородный
superintendent,управляющий
swimming pool,бассейн
to take care of,"ухаживать, заботиться"
to take pictures,"фотографировать, делать снимки"
that,что
time,"время, раз"
the only,единственный
town,небольшой город
toy,игрушка
typically,"обычно, типично"
VCR,видеомагнитофон
washing machine,стиральная машина
